title,url,author,visualizationType,thumbnail,
Radiology-Fang,https://pubs.rsna.org/doi/full/10.1148/radiol.2020200432,Wenbin Ji,CT,https://upload.wikimedia.org/wikipedia/commons/b/b3/ReducedDataSet.png,
Radiology-Chung,https://pubs.rsna.org/doi/10.1148/radiol.2020200230,Hong Shan,CT,https://upload.wikimedia.org/wikipedia/commons/b/b3/ReducedDataSet.png,
Allergy-Zhang,https://onlinelibrary.wiley.com/doi/full/10.1111/all.14238,Ya‐dong Gao,CT,https://upload.wikimedia.org/wikipedia/commons/b/b3/ReducedDataSet.png,
JI-Liu,https://www.sciencedirect.com/science/article/pii/S0163445320301183,Weishun Lan,CT,https://upload.wikimedia.org/wikipedia/commons/b/b3/ReducedDataSet.png,
temporal changes,https://doi.org/10.1148/radiol.2020200843,<Unknown>,CT,https://upload.wikimedia.org/wikipedia/commons/b/b3/ReducedDataSet.png,
A Twitter Dataset of 40+ million tweets related to COVID-19,https://jovian.ml/forum/t/latest-dataset-of-40-million-tweets-of-covid19-chatter/656?u=nilexshinde," Banda, Juan M.; Tekumalla, Ramya",Tweet,http://www.panacealab.org/img/site_logo.png,
COVID-19 Pandemic,https://data.humdata.org/event/covid-19,OCHA services,Data visualization,https://data.humdata.org/,
Giant list of hospitals and what they can accept,https://docs.google.com/spreadsheets/u/2/d/1txEanDkIrJ5GNfSk-zlXkTlB-bQPNRN_Y69qEwmdme8/htmlview?urp=gmail_link#gid=1259409226,USA,Hackadays - How You Can Help,https://inventability.net/assets/pics/posts/tips/feature/1600/hackaday.jpg,
Covid Accelerator,covidaccelerator.com,Global,Hackadays - How You Can Help,https://inventability.net/assets/pics/posts/tips/feature/1600/hackaday.jpg,
NYC maker community Discord,Ask us for invite: superconference@hackaday.io,NYC and lower NYS only,Hackadays - How You Can Help,https://inventability.net/assets/pics/posts/tips/feature/1600/hackaday.jpg,
Helpful Engineering,https://docs.google.com/document/d/1cM87eJdXhP_8e9gJJZ_SnZXdo_huWsBmMzcqYWbhEOg/preview?omnisendAttributionID=email_campaign_5e701f5999f0b71f228309c6&omnisendContactID=5cc1b4f364fd192fc0c4fe8f&omnisendScopeID=5cc10abb8653ed5a50b1134a_2_39371,Global: onboarding doc,Hackadays - How You Can Help,https://inventability.net/assets/pics/posts/tips/feature/1600/hackaday.jpg,
Prusa face shields,https://www.prusaprinters.org/prints/25857-prusa-protective-face-shield-rc3,,Hackadays - How You Can Help,https://inventability.net/assets/pics/posts/tips/feature/1600/hackaday.jpg,
Face shield without 3d printer (Spanish),https://www.youtube.com/watch?v=pNrWxqVjLJ4&fbclid=IwAR3gKYchu8mBS-ck-lBQvVFoBLlCsj6KzLrdNhyZukFDI7xtoJ7WZzT4p2I,,Hackadays - How You Can Help,https://inventability.net/assets/pics/posts/tips/feature/1600/hackaday.jpg,
Folding@Home,Run on home computers please. Team Hackaday #44851 . https://foldingathome.org/2020/03/15/coronavirus-what-were-doing-and-how-you-can-help-in-simple-terms/ Setup instructions: https://hackaday.com/?p=404186,Global,Hackadays - How You Can Help,https://inventability.net/assets/pics/posts/tips/feature/1600/hackaday.jpg,
N95 Mask,https://www.projectn95.com/,USA,Hackadays - How You Can Help,https://inventability.net/assets/pics/posts/tips/feature/1600/hackaday.jpg,
Nation of Makers Live Maker Responses Doc,https://docs.google.com/document/d/11ToBl0_OZ7Xe9ZJXq9P4AZXCWA8pxpoBNuatH8E2Oqk/edit?usp=sharing,Global,Hackadays - How You Can Help,https://inventability.net/assets/pics/posts/tips/feature/1600/hackaday.jpg,
Emergency mask for hospital ventilators,https://www.isinnova.it/easy-covid19-eng/,,Hackadays - How You Can Help,https://inventability.net/assets/pics/posts/tips/feature/1600/hackaday.jpg,
3dforcovid.com Face Shield Initiative,3dforcovid.com,USA/Global potential,Hackadays - How You Can Help,https://inventability.net/assets/pics/posts/tips/feature/1600/hackaday.jpg,
Epidemiologist site for tracking the impact at hospitals - Developers Needed,https://github.com/CodeForPhilly/chime,USA/Global potential,Hackadays - How You Can Help,https://inventability.net/assets/pics/posts/tips/feature/1600/hackaday.jpg,
Opensource Mask,https://www.opensourcemask.com/en/,Global,Hackadays - How You Can Help,https://inventability.net/assets/pics/posts/tips/feature/1600/hackaday.jpg,
List of COVID-19 Initiatives; Women in 3D printing group,https://womenin3dprinting.com/covid-19-3d-printing-responses/,,Hackadays - How You Can Help,https://inventability.net/assets/pics/posts/tips/feature/1600/hackaday.jpg,
TXRX Labs making medical supplies,https://www.txrxlabs.org/post/we-need-your-help-making-face-shields-and-masks-for-houston-hospitals,"Houston, Texas, USA",Hackadays - How You Can Help,https://inventability.net/assets/pics/posts/tips/feature/1600/hackaday.jpg,
"Just One Giant Lab (JOGL) :Research and innovation laboratory operating as a distributed, open and massive mobilization platform for collaborative task solving.",https://jogl.io/,Global,Hackadays - How You Can Help,https://inventability.net/assets/pics/posts/tips/feature/1600/hackaday.jpg,
"Helpful Engineering : An open source group of 3,000+ members looking for solutions to COVID19",helpfulengineering.slack.com,Global,Hackadays - How You Can Help,https://inventability.net/assets/pics/posts/tips/feature/1600/hackaday.jpg,
The Coronavirus Tech Handbook,https://coronavirustechhandbook.com/home,Global,Hackadays - How You Can Help,https://inventability.net/assets/pics/posts/tips/feature/1600/hackaday.jpg,
"Hack the Crisis : Working on medical devices, to have a fast and easy solution that can be reproduced and assembled locally worldwide.",https://www.hackcrisis.com/,Global,Hackadays - How You Can Help,https://inventability.net/assets/pics/posts/tips/feature/1600/hackaday.jpg,
Project Open Air,https://www.projectopenair.org/,Global,Hackadays - How You Can Help,https://inventability.net/assets/pics/posts/tips/feature/1600/hackaday.jpg,
Make in Belgium:A platform of all kinds of makers working on Covid related projects. (mostly Dutch language put English is accepted),http://makein.be/doku.php?id=corona,Belgium,Hackadays - How You Can Help,https://inventability.net/assets/pics/posts/tips/feature/1600/hackaday.jpg,
"GISAID: Promotes the international sharing of all influenza virus sequences, related clinical and epidemiological data associated with human viruses, ....",https://www.gisaid.org/,,Hackadays - How You Can Help,https://inventability.net/assets/pics/posts/tips/feature/1600/hackaday.jpg,
"Coronahub: Connects healthcare workers and volunteers with medical providers, while its Slack chat channel allows for the general public to share Coronavirus news and exchange safety advice.",https://slofile.com/slack/coronahub,,Hackadays - How You Can Help,https://inventability.net/assets/pics/posts/tips/feature/1600/hackaday.jpg,
"Scientists Against Corona (SAC): Mission: Seeking the help of scientists, epidemiologist, doctors, mathematicians, statisticians, engineers, analysts and anyone who can share scientific models and advice in support of the fight against the Corona virus (COVID-19) pandemic",https://www.linkedin.com/groups/12381212/?lipi=urn%3Ali%3Apage%3Ad_flagship3_pulse_read%3BpF%2BehZjQS4SVi1nEiN0LIA%3D%3D,,Hackadays - How You Can Help,https://inventability.net/assets/pics/posts/tips/feature/1600/hackaday.jpg,
Coronavirus: Shared knowledge and experiences regarding COVID-19,https://www.quora.com/q/coronavirus,,Hackadays - How You Can Help,https://inventability.net/assets/pics/posts/tips/feature/1600/hackaday.jpg,
"Coronavirus Makers: ¡Un mal respirador o un respirador mal usado, puede matar! (A bad respirator or a misused respirator can kill!)",https://www.coronavirusmakers.org,,Hackadays - How You Can Help,https://inventability.net/assets/pics/posts/tips/feature/1600/hackaday.jpg,
Open Source Ventilator (OSV) Ireland,https://opensourceventilator.ie,,Hackadays - How You Can Help,https://inventability.net/assets/pics/posts/tips/feature/1600/hackaday.jpg,
Open Source Ventilator (OSV) Ireland,https://osventilator.slack.com/join/shared_invite/zt-cst4dhk7-BFNMz_vyBPthjlBFYV1yWA (Slack),,Hackadays - How You Can Help,https://inventability.net/assets/pics/posts/tips/feature/1600/hackaday.jpg,
Frena La Curva,https://es.mapa.frenalacurva.net/views/map,Spain,Hackadays - How You Can Help,https://inventability.net/assets/pics/posts/tips/feature/1600/hackaday.jpg,
Groupe de Soutien en cas de Crise Numérique,https://gscn.eu.org/,France,Hackadays - How You Can Help,https://inventability.net/assets/pics/posts/tips/feature/1600/hackaday.jpg,
Formlabs is connecting those needing 3D printed parts with people having 3D printing expertise,https://docs.google.com/forms/d/e/1FAIpQLSe015Ylohgm7hE5lRsekdK01_OqElYeSAzqyHx7HbOmrJ_MjQ/viewform,Global,Hackadays - How You Can Help,https://inventability.net/assets/pics/posts/tips/feature/1600/hackaday.jpg,
Open Source Oxygen Concentrator,https://reprapltd.com/open-source-oxygen-concentrator,Global,Hackadays - How You Can Help,https://inventability.net/assets/pics/posts/tips/feature/1600/hackaday.jpg,
Open Source COVID19 Medical Supplies Facebook Group,https://www.facebook.com/groups/670932227050506/,,Hackadays - How You Can Help,https://inventability.net/assets/pics/posts/tips/feature/1600/hackaday.jpg,
NanoHack (Open source respirator mask),https://copper3d.com/hackthepandemic/,Global,Hackadays - How You Can Help,https://inventability.net/assets/pics/posts/tips/feature/1600/hackaday.jpg,
3D printable dual filter mask,https://www.thingiverse.com/thing:4232209,Global,Hackadays - How You Can Help,https://inventability.net/assets/pics/posts/tips/feature/1600/hackaday.jpg,
Community Pleated Masks,https://www.project-cloth-masks.com/,Global,Hackadays - How You Can Help,https://inventability.net/assets/pics/posts/tips/feature/1600/hackaday.jpg,
Prototype of the HealthOS ventilation system,https://github.com/EdisonDesign/HealthOS,Global,Hackadays - How You Can Help,https://inventability.net/assets/pics/posts/tips/feature/1600/hackaday.jpg,
Help with Covid,https://helpwithcovid.com/,,Hackadays - How You Can Help,https://inventability.net/assets/pics/posts/tips/feature/1600/hackaday.jpg,
Medical Supply Donation / Request / Manufacture,https://getusppe.org,,Hackadays - How You Can Help,https://inventability.net/assets/pics/posts/tips/feature/1600/hackaday.jpg,
Coding: World Health Organization Open Source Global App initiative “Waze”,https://github.com/WorldHealthOrganization/app,,Hackadays - How You Can Help,https://inventability.net/assets/pics/posts/tips/feature/1600/hackaday.jpg,
Request to help improve and translate the Covid-19 guide:,https://covid-at-home.info/help,,Hackadays - How You Can Help,https://inventability.net/assets/pics/posts/tips/feature/1600/hackaday.jpg,
COVID-19 TweetIDs,https://github.com/echen102/COVID-19-TweetIDs,echen102,Tweet,https://upload.wikimedia.org/wikipedia/commons/4/49/Font_Awesome_5_brands_github-alt.svg,
COVID-19 Health System Capacity,https://www.covidcaremap.org/,covidecaremap,Visualization,https://upload.wikimedia.org/wikipedia/commons/4/49/Font_Awesome_5_brands_github-alt.svg,
"during the coming weeks, critically-acclaimed professional artists from the film and music industries will review t",https://twitter.com/WHO,WHO,tweet,https://pbs.twimg.com/profile_images/875476478988886016/_l61qZdR_400x400.jpg,
"who thanks richard curtis, wagner moura,",https://twitter.com/WHO,WHO,tweet,https://pbs.twimg.com/profile_images/875476478988886016/_l61qZdR_400x400.jpg,
"in celebration of the year of the nurse and the midwife, we created a category in our",https://twitter.com/WHO,WHO,tweet,https://pbs.twimg.com/profile_images/875476478988886016/_l61qZdR_400x400.jpg,
animation can be a powerful means of helping us to understand health issues. here is our shortlist of categories in,https://twitter.com/WHO,WHO,tweet,https://pbs.twimg.com/profile_images/875476478988886016/_l61qZdR_400x400.jpg,
films shortlisted in the video reports category of our,https://twitter.com/WHO,WHO,tweet,https://pbs.twimg.com/profile_images/875476478988886016/_l61qZdR_400x400.jpg,
whos inaugural,https://twitter.com/WHO,WHO,tweet,https://pbs.twimg.com/profile_images/875476478988886016/_l61qZdR_400x400.jpg,
the full briefing on,https://twitter.com/WHO,WHO,tweet,https://pbs.twimg.com/profile_images/875476478988886016/_l61qZdR_400x400.jpg,
"""in these difficult times, film &amp; other media are a powerful way not only of communicating important health message",https://twitter.com/WHO,WHO,tweet,https://pbs.twimg.com/profile_images/875476478988886016/_l61qZdR_400x400.jpg,
"""we will be showing all the short-listed films in the coming weeks on our website and social media channels""-",https://twitter.com/WHO,WHO,tweet,https://pbs.twimg.com/profile_images/875476478988886016/_l61qZdR_400x400.jpg,
"""we received 1,300+ entries from 110 countries &amp; today we are announcing a short list of 45 excellent short films a",https://twitter.com/WHO,WHO,tweet,https://pbs.twimg.com/profile_images/875476478988886016/_l61qZdR_400x400.jpg,
"""physical distance doesnt mean social distance. 
we all need to check in regularly on older parents, neighbors, fr",https://twitter.com/WHO,WHO,tweet,https://pbs.twimg.com/profile_images/875476478988886016/_l61qZdR_400x400.jpg,
"""we need to work together to protect older people from the",https://twitter.com/WHO,WHO,tweet,https://pbs.twimg.com/profile_images/875476478988886016/_l61qZdR_400x400.jpg,
"""they [older people] are at higher risk of the more serious complications of",https://twitter.com/WHO,WHO,tweet,https://pbs.twimg.com/profile_images/875476478988886016/_l61qZdR_400x400.jpg,
"""although we are especially concerned about vulnerable countries, all countries have vulnerable populations, incl.",https://twitter.com/WHO,WHO,tweet,https://pbs.twimg.com/profile_images/875476478988886016/_l61qZdR_400x400.jpg,
"""were grateful to the over 200k individuals &amp; orgs who have contributed to the",https://twitter.com/WHO,WHO,tweet,https://pbs.twimg.com/profile_images/875476478988886016/_l61qZdR_400x400.jpg,
"""we also welcome the secretary-generals call for a global ceasefire. we are all facing a common threat, and the on",https://twitter.com/WHO,WHO,tweet,https://pbs.twimg.com/profile_images/875476478988886016/_l61qZdR_400x400.jpg,
"""together with our partners in the",https://twitter.com/WHO,WHO,tweet,https://pbs.twimg.com/profile_images/875476478988886016/_l61qZdR_400x400.jpg,
"""this is especially relevant for many vulnerable countries whose health systems may collapse under the weight of th",https://twitter.com/WHO,WHO,tweet,https://pbs.twimg.com/profile_images/875476478988886016/_l61qZdR_400x400.jpg,
"""more than 150 countries &amp; territories still have fewer than 100 cases.
by taking the same aggressive actions now,",https://twitter.com/WHO,WHO,tweet,https://pbs.twimg.com/profile_images/875476478988886016/_l61qZdR_400x400.jpg,
"""aggressive measures to find, isolate, test, treat and trace are not only the best and fastest way out of extreme s",https://twitter.com/WHO,WHO,tweet,https://pbs.twimg.com/profile_images/875476478988886016/_l61qZdR_400x400.jpg,
"""these measures are the best way to suppress &amp; stop transmission, so that when restrictions are lifted, the",https://twitter.com/WHO,WHO,tweet,https://pbs.twimg.com/profile_images/875476478988886016/_l61qZdR_400x400.jpg,
"""...
-identify, adapt and equip facilities you will use to treat &amp; isolate patients
-develop a clear plan &amp; process",https://twitter.com/WHO,WHO,tweet,https://pbs.twimg.com/profile_images/875476478988886016/_l61qZdR_400x400.jpg,
"""you have created a 2nd window of opportunity. how will you use it?
-expand, train &amp; deploy your health care &amp; publ",https://twitter.com/WHO,WHO,tweet,https://pbs.twimg.com/profile_images/875476478988886016/_l61qZdR_400x400.jpg,
"""the point of these actions is to enable the more precise and targeted measures that are needed to stop transmissio",https://twitter.com/WHO,WHO,tweet,https://pbs.twimg.com/profile_images/875476478988886016/_l61qZdR_400x400.jpg,
"""asking people to stay at home and shutting down population movement is buying time and reducing the pressure on he",https://twitter.com/WHO,WHO,tweet,https://pbs.twimg.com/profile_images/875476478988886016/_l61qZdR_400x400.jpg,
"""we understand that these countries are now trying to assess when and how they will be able to ease these measures.",https://twitter.com/WHO,WHO,tweet,https://pbs.twimg.com/profile_images/875476478988886016/_l61qZdR_400x400.jpg,
"""to slow the spread of",https://twitter.com/WHO,WHO,tweet,https://pbs.twimg.com/profile_images/875476478988886016/_l61qZdR_400x400.jpg,
"""already we have lost more than 16,000 lives. we know we will lose more how many more will be determined by the d",https://twitter.com/WHO,WHO,tweet,https://pbs.twimg.com/profile_images/875476478988886016/_l61qZdR_400x400.jpg,
"""we have overcome many pandemics and crises before. we will overcome this one too.
the question is how large a pric",https://twitter.com/WHO,WHO,tweet,https://pbs.twimg.com/profile_images/875476478988886016/_l61qZdR_400x400.jpg,
media briefing on,https://twitter.com/WHO,WHO,tweet,https://pbs.twimg.com/profile_images/875476478988886016/_l61qZdR_400x400.jpg,
"""history will judge us on how we responded to the poorest communities in their darkest hour.

lets act together, r",https://twitter.com/WHO,WHO,tweet,https://pbs.twimg.com/profile_images/875476478988886016/_l61qZdR_400x400.jpg,
"""our message to all countries is clear: heed this warning now, back this plan politically &amp; financially today &amp; we",https://twitter.com/WHO,WHO,tweet,https://pbs.twimg.com/profile_images/875476478988886016/_l61qZdR_400x400.jpg,
we need to protect the health and humanitarian supply chain so that our frontline workers are protected and abl,https://twitter.com/WHO,WHO,tweet,https://pbs.twimg.com/profile_images/875476478988886016/_l61qZdR_400x400.jpg,
were building the ship as we sail and its critical that we continue to share learnings and innovations so tha,https://twitter.com/WHO,WHO,tweet,https://pbs.twimg.com/profile_images/875476478988886016/_l61qZdR_400x400.jpg,
"slow, suppress &amp; stop transmission to reduce the burden on health facilities. this means safe",https://twitter.com/WHO,WHO,tweet,https://pbs.twimg.com/profile_images/875476478988886016/_l61qZdR_400x400.jpg,
"prioritize treatment for those at highest risk of severe illness""-",https://twitter.com/WHO,WHO,tweet,https://pbs.twimg.com/profile_images/875476478988886016/_l61qZdR_400x400.jpg,
ramp up surveillance and lab testing so that those with the virus can be identified quickly and isolated safely,https://twitter.com/WHO,WHO,tweet,https://pbs.twimg.com/profile_images/875476478988886016/_l61qZdR_400x400.jpg,
the public must be effectively prepared for the critical measures that are needed to help suppress the spread a,https://twitter.com/WHO,WHO,tweet,https://pbs.twimg.com/profile_images/875476478988886016/_l61qZdR_400x400.jpg,
"""the new global humanitarian response plan builds on that effort and sets a six-point action plan for how to prepar",https://twitter.com/WHO,WHO,tweet,https://pbs.twimg.com/profile_images/875476478988886016/_l61qZdR_400x400.jpg,
"""weve worked with business leaders to ensure supply chains are working and bottlenecks are overcome""-",https://twitter.com/WHO,WHO,tweet,https://pbs.twimg.com/profile_images/875476478988886016/_l61qZdR_400x400.jpg,
"""weve brought scientists together to boost funding in the r&amp;d of diagnostics, treatments &amp; a future vaccine. we",https://twitter.com/WHO,WHO,tweet,https://pbs.twimg.com/profile_images/875476478988886016/_l61qZdR_400x400.jpg,
"""i implore leaders to stand together and heed this appeal. since the",https://twitter.com/WHO,WHO,tweet,https://pbs.twimg.com/profile_images/875476478988886016/_l61qZdR_400x400.jpg,
"""despite their resilience they do need our help today and this new plan lays out what has to happen right now, in o",https://twitter.com/WHO,WHO,tweet,https://pbs.twimg.com/profile_images/875476478988886016/_l61qZdR_400x400.jpg,
"""people and communities that are already uprooted due to conflict, displacement, the climate crisis or other diseas",https://twitter.com/WHO,WHO,tweet,https://pbs.twimg.com/profile_images/875476478988886016/_l61qZdR_400x400.jpg,
"""as you know, the pandemic has accelerated over the last two weeks and while",https://twitter.com/WHO,WHO,tweet,https://pbs.twimg.com/profile_images/875476478988886016/_l61qZdR_400x400.jpg,
"""i am pleased to join colleagues at this critical moment in the fight against the",https://twitter.com/WHO,WHO,tweet,https://pbs.twimg.com/profile_images/875476478988886016/_l61qZdR_400x400.jpg,
live now: launch of the,https://twitter.com/WHO,WHO,tweet,https://pbs.twimg.com/profile_images/875476478988886016/_l61qZdR_400x400.jpg,
"looking after yourself, your family &amp; friends is important through these stressful times. who encourages everyone a",https://twitter.com/WHO,WHO,tweet,https://pbs.twimg.com/profile_images/875476478988886016/_l61qZdR_400x400.jpg,
"being active every day is good for your body, mind and spirit especially duringtimes. who encourages everyone a",https://twitter.com/WHO,WHO,tweet,https://pbs.twimg.com/profile_images/875476478988886016/_l61qZdR_400x400.jpg,
we can still beat,https://twitter.com/WHO,WHO,tweet,https://pbs.twimg.com/profile_images/875476478988886016/_l61qZdR_400x400.jpg,
"while you stay/work at home, reduce long periods spent sitting using active breaks every 30 mins
walk up and dow",https://twitter.com/WHO,WHO,tweet,https://pbs.twimg.com/profile_images/875476478988886016/_l61qZdR_400x400.jpg,
be kind to yourself to,https://twitter.com/WHO,WHO,tweet,https://pbs.twimg.com/profile_images/875476478988886016/_l61qZdR_400x400.jpg,
"  if you are at home because of ce long periods spent sitting using active breaks every 30 mins, walk up and down",https://twitter.com/WHO,WHO,tweet,https://pbs.twimg.com/profile_images/875476478988886016/_l61qZdR_400x400.jpg,
doing any activity around the home is better than none at all. be active during,https://twitter.com/WHO,WHO,tweet,https://pbs.twimg.com/profile_images/875476478988886016/_l61qZdR_400x400.jpg,
"today, there are many preventive treatment options available. new, shorter treatment options mean that people can b",https://twitter.com/WHO,WHO,tweet,https://pbs.twimg.com/profile_images/875476478988886016/_l61qZdR_400x400.jpg,
"the chance of developing tb disease is higher if you: are in close contact with a tb patient, are living with hiow",https://twitter.com/WHO,WHO,tweet,https://pbs.twimg.com/profile_images/875476478988886016/_l61qZdR_400x400.jpg,
stigmatizing people with tb inhibits care and is socially devastating. its time to stand against stigma and discri,https://twitter.com/WHO,WHO,tweet,https://pbs.twimg.com/profile_images/875476478988886016/_l61qZdR_400x400.jpg,
"more effective medicines, vaccines and tools are urgently needed to break the trajectory of the tb epidemic. it's t",https://twitter.com/WHO,WHO,tweet,https://pbs.twimg.com/profile_images/875476478988886016/_l61qZdR_400x400.jpg,
nurses and healthcare workers play a critical role in tb prevention and care. its time to invest in them to impr,https://twitter.com/WHO,WHO,tweet,https://pbs.twimg.com/profile_images/875476478988886016/_l61qZdR_400x400.jpg,
affordable and quick diagnosis is the first step towards timely tb care. its time for universal access to rapid mo,https://twitter.com/WHO,WHO,tweet,https://pbs.twimg.com/profile_images/875476478988886016/_l61qZdR_400x400.jpg,
"people in close contact with tb patients, especially children, and people living with hiv are at high risk of devel",https://twitter.com/WHO,WHO,tweet,https://pbs.twimg.com/profile_images/875476478988886016/_l61qZdR_400x400.jpg,
1 in 4 people have tb infection. they need to take preventive treatment to stop the infection from developing into,https://twitter.com/WHO,WHO,tweet,https://pbs.twimg.com/profile_images/875476478988886016/_l61qZdR_400x400.jpg,
"1 in 2 children with tb miss out on access to quality care, risking serious illness and death.
its time to ensure",https://twitter.com/WHO,WHO,tweet,https://pbs.twimg.com/profile_images/875476478988886016/_l61qZdR_400x400.jpg,
1 in 3 people with tb cant get quality care today. its time for universal access to treat all people with quality,https://twitter.com/WHO,WHO,tweet,https://pbs.twimg.com/profile_images/875476478988886016/_l61qZdR_400x400.jpg,
"ending tb by 2030 needs: political will, financial resources, multisectoral engagement, community ownershi",https://twitter.com/WHO,WHO,tweet,https://pbs.twimg.com/profile_images/875476478988886016/_l61qZdR_400x400.jpg,
be safe from the,https://twitter.com/WHO,WHO,tweet,https://pbs.twimg.com/profile_images/875476478988886016/_l61qZdR_400x400.jpg,
"""pass the message to kick out",https://twitter.com/WHO,WHO,tweet,https://pbs.twimg.com/profile_images/875476478988886016/_l61qZdR_400x400.jpg,
"""our new",https://twitter.com/WHO,WHO,tweet,https://pbs.twimg.com/profile_images/875476478988886016/_l61qZdR_400x400.jpg,
"""i would also like to thank",https://twitter.com/WHO,WHO,tweet,https://pbs.twimg.com/profile_images/875476478988886016/_l61qZdR_400x400.jpg,
"""to date, the",https://twitter.com/WHO,WHO,tweet,https://pbs.twimg.com/profile_images/875476478988886016/_l61qZdR_400x400.jpg,
"""id also like to take this opportunity to thank",https://twitter.com/WHO,WHO,tweet,https://pbs.twimg.com/profile_images/875476478988886016/_l61qZdR_400x400.jpg,
""" can reach millions of people, especially younger people, that public health officials cannot. today its my grea",https://twitter.com/WHO,WHO,tweet,https://pbs.twimg.com/profile_images/875476478988886016/_l61qZdR_400x400.jpg,
"""many football  matches have stopped but our collaboration has become even more important during this difficult",https://twitter.com/WHO,WHO,tweet,https://pbs.twimg.com/profile_images/875476478988886016/_l61qZdR_400x400.jpg,
"""less than 6 months ago, who &amp;",https://twitter.com/WHO,WHO,tweet,https://pbs.twimg.com/profile_images/875476478988886016/_l61qZdR_400x400.jpg,
media briefing on,https://twitter.com/WHO,WHO,tweet,https://pbs.twimg.com/profile_images/875476478988886016/_l61qZdR_400x400.jpg,
thank you,https://twitter.com/WHO,WHO,tweet,https://pbs.twimg.com/profile_images/875476478988886016/_l61qZdR_400x400.jpg,
people of all ages can take part in our,https://twitter.com/WHO,WHO,tweet,https://pbs.twimg.com/profile_images/875476478988886016/_l61qZdR_400x400.jpg,
thank you,https://twitter.com/WHO,WHO,tweet,https://pbs.twimg.com/profile_images/875476478988886016/_l61qZdR_400x400.jpg,
watch our goodwill ambassador,https://twitter.com/WHO,WHO,tweet,https://pbs.twimg.com/profile_images/875476478988886016/_l61qZdR_400x400.jpg,
media outlets have a key role to play in promoting,https://twitter.com/WHO,WHO,tweet,https://pbs.twimg.com/profile_images/875476478988886016/_l61qZdR_400x400.jpg,
"even in poor areas with limited resources, you can stay safe from",https://twitter.com/WHO,WHO,tweet,https://pbs.twimg.com/profile_images/875476478988886016/_l61qZdR_400x400.jpg,
thank you mary for promoting our,https://twitter.com/WHO,WHO,tweet,https://pbs.twimg.com/profile_images/875476478988886016/_l61qZdR_400x400.jpg,
instilling regular,https://twitter.com/WHO,WHO,tweet,https://pbs.twimg.com/profile_images/875476478988886016/_l61qZdR_400x400.jpg,
"improving water, sanitation &amp; hygiene in healthcare facilities is critical. this will lead to: better infection",https://twitter.com/WHO,WHO,tweet,https://pbs.twimg.com/profile_images/875476478988886016/_l61qZdR_400x400.jpg,
billions of people rely on ill-equipped facilities for care. when patients cant feel confident that facilities are,https://twitter.com/WHO,WHO,tweet,https://pbs.twimg.com/profile_images/875476478988886016/_l61qZdR_400x400.jpg,
"healthcare facility staff - nurses, midwives, doctors, aides and people who clean the facilities always need to sta",https://twitter.com/WHO,WHO,tweet,https://pbs.twimg.com/profile_images/875476478988886016/_l61qZdR_400x400.jpg,
there is no more critical site than a healthcare facility when it comes to fighting a pandemic disease like,https://twitter.com/WHO,WHO,tweet,https://pbs.twimg.com/profile_images/875476478988886016/_l61qZdR_400x400.jpg,
